runoff_obs,basin_cfs_pred,year,month,day,precip,tmax,tmin
2.7,3.890482,2002,10,1,0.13,57.4,34.6
2.7,3.041588,2002,10,2,0.97,38.4,29.7
2.8,2.796749,2002,10,3,0.04,41.2,31.7
2.8,2.600715,2002,10,4,0.0,52.9,34.0
2.6,2.43956,2002,10,5,0.0,50.5,34.8
2.4,2.313932,2002,10,6,0.0,59.1,38.7
2.8,2.20687,2002,10,7,0.0,59.8,39.8
2.5,2.138643,2002,10,8,0.0,65.0,42.3
2.4,2.074149,2002,10,9,0.0,66.7,42.2
2.3,2.018152,2002,10,10,0.0,67.9,45.3
2.2,1.969334,2002,10,11,0.0,68.5,48.0
2.1,1.880715,2002,10,12,0.0,58.3,31.9
2.1,1.841334,2002,10,13,0.0,57.7,29.0
2.1,1.812958,2002,10,14,0.0,60.1,35.3
2.1,1.795018,2002,10,15,0.0,63.1,36.1
2.0,1.774201,2002,10,16,0.0,64.1,36.2
2.0,1.746542,2002,10,17,0.0,61.8,37.6
1.9,1.730267,2002,10,18,0.0,62.9,35.7
1.9,1.718727,2002,10,19,0.0,64.4,35.9
1.9,1.70904,2002,10,20,0.0,64.2,37.2
1.9,1.692878,2002,10,21,0.0,64.1,36.9
1.8,1.678333,2002,10,22,0.0,62.8,35.6
1.8,1.663181,2002,10,23,0.0,60.7,32.0
1.8,1.649467,2002,10,24,0.0,53.0,30.9
1.8,1.640825,2002,10,25,0.0,55.3,31.9
1.9,2.082153,2002,10,26,0.14,52.8,34.7
1.8,1.625104,2002,10,27,0.0,45.9,32.8
1.8,1.617123,2002,10,28,0.0,50.4,32.7
1.7,1.609214,2002,10,29,0.0,52.9,25.8
1.6,1.601368,2002,10,30,0.0,44.8,24.0
1.7,1.593589,2002,10,31,0.0,47.3,21.5
1.8,1.585876,2002,11,1,0.0,40.5,9.4
1.8,1.578224,2002,11,2,0.0,31.0,9.9
1.8,1.570637,2002,11,3,0.0,38.7,14.9
1.8,1.563111,2002,11,4,0.0,38.3,15.7
1.8,1.555647,2002,11,5,0.0,44.6,22.9
1.6,1.548243,2002,11,6,0.0,51.1,25.3
1.5,1.540956,2002,11,7,0.0,56.2,32.0
1.8,1.706283,2002,11,8,0.05,49.6,35.7
1.7,2.989479,2002,11,9,0.55,45.2,37.4
1.7,1.561624,2002,11,10,0.06,44.7,28.9
1.7,1.589024,2002,11,11,0.16,43.2,26.2
1.7,1.505852,2002,11,12,0.0,42.3,23.4
1.8,1.498802,2002,11,13,0.0,50.1,25.8
1.7,1.491811,2002,11,14,0.0,49.3,27.8
1.7,1.484878,2002,11,15,0.0,46.7,26.1
1.7,1.478002,2002,11,16,0.0,45.5,27.0
1.7,1.471193,2002,11,17,0.0,53.7,32.3
1.8,1.464415,2002,11,18,0.0,51.1,21.0
1.7,1.457704,2002,11,19,0.0,48.0,24.9
1.6,1.451048,2002,11,20,0.0,50.0,27.5
1.6,1.444444,2002,11,21,0.0,54.7,31.3
1.6,1.438062,2002,11,22,0.0,58.5,33.9
1.6,1.432347,2002,11,23,0.0,59.3,34.0
1.6,1.424969,2002,11,24,0.0,53.0,29.2
